goal_idx,goal_x,goal_y,final_x,final_y,final_yaw_deg,error_x_m,error_y_m,error_yaw_deg_0_360,error_yaw_deg_shortest,error_2d_m,ket_qua,thoi_gian_giay
0,9.0,0.0,8.825419298244098,0.0089860284104303,359.9988164869539,-0.174580701755902,0.0089860284104303,359.9988164869539,0.001183513046086352,0.17481181348002847,SUCCEEDED,20.27
1,-9.0,0.0,-9.002390435867985,-0.0696328116801693,350.1864969374843,-0.0023904358679853743,-0.0696328116801693,350.1864969374843,9.81350306251566,0.06967383042523838,SUCCEEDED,50.67
2,0.0,2.0,-0.15244391824814077,1.911315882262517,2.6744394047540463,-0.15244391824814077,-0.08868411773748308,2.6744394047540463,2.6744394047540463,0.17636332087404566,SUCCEEDED,20.29
3,-3.0,1.5,-3.0464959711078277,1.5484239027109001,7.992759471813627,-0.04649597110782766,0.048423902710900135,7.992759471813628,7.992759471813628,0.06713232964090153,SUCCEEDED,25.36
