t_wall_sec,goal_idx,step,vmax_dat,w_path,w_goal,w_goal_angle,dist_to_goal_m,d_obs_m,v_thuc_mps,w_thuc_radps
5.078862428665161,0,1,0.9700000286102295,14.600000381469727,5.429999828338623,10.529999732971191,6.606530284451143,2.163261890411377,0.5262504836595717,0.020341844167466747
10.143664836883545,0,2,0.9800000190734863,14.479999542236328,5.360000133514404,11.210000038146973,4.13678085308547,2.1798367500305176,0.5203572420428588,0.06653153688518101
15.20838189125061,0,3,0.9800000190734863,14.069999694824219,5.260000228881836,13.319999694824219,1.6658298235365538,2.1702325344085693,0.5186850317248652,-0.06638614533591503
20.272919178009033,0,4,0.9800000190734863,14.739999771118164,5.320000171661377,14.0600004196167,0.17481181348002847,0.8431878089904785,-0.0038215564646065137,-1.6573439882034962e-07
25.349159717559814,1,1,0.9399999976158142,14.859999656677246,5.289999961853027,14.550000190734863,17.54598645264605,1.6953039169311523,0.015186140609032223,-0.4358354357658367
30.411996126174927,1,2,0.9300000071525574,14.789999961853027,8.510000228881836,14.680000305175781,15.64612346281557,2.412853479385376,0.5273083416863144,0.07318097929557502
35.47563600540161,1,3,0.9599999785423279,1.940000057220459,19.489999771118164,10.260000228881836,12.966710539911201,2.4110326766967773,0.5223587332803418,-0.0704032141597776
40.53881359100342,1,4,0.9599999785423279,13.529999732971191,19.270000457763672,12.020000457763672,10.42401425866786,2.656127452850342,0.5222043794035637,0.021121058837231404
45.611876010894775,1,5,0.9599999785423279,8.229999542236328,17.399999618530273,13.800000190734863,8.08243059095812,2.374305248260498,0.5226569384971292,-0.14816513953255556
50.67796611785889,1,6,0.9599999785423279,14.470000267028809,15.869999885559082,12.170000076293945,5.616174189203762,2.441115140914917,0.511731439747892,0.03138945036490044
55.741920709609985,1,7,0.949999988079071,14.720000267028809,10.739999771118164,12.65999984741211,3.2040066938535783,2.6007239818573,0.5081579120576364,-0.03746910184744265
60.81890416145325,1,8,0.9300000071525574,14.829999923706055,5.619999885559082,14.479999542236328,0.7768066468843959,1.4959237575531006,0.44623935759498085,-0.01599660308186583
65.88171100616455,1,9,0.949999988079071,14.890000343322754,5.199999809265137,14.859999656677246,0.040446128720302996,1.1456087827682495,-0.06126721697876103,0.4968914629541285
70.94454026222229,1,10,0.9800000190734863,14.220000267028809,5.130000114440918,14.5600004196167,0.06967383042523838,1.9755423069000244,7.21407158414404e-05,4.352327030312186e-08
76.03985857963562,2,1,0.9700000286102295,12.8100004196167,5.289999961853027,5.769999980926514,6.948974955670616,2.9198899269104004,0.5204610350249775,-0.06621095327121118
81.10418939590454,2,2,0.9700000286102295,0.6200000047683716,5.619999885559082,5.809999942779541,4.430828395493191,3.135718584060669,0.5173186766495173,-0.028776106231764464
86.17044854164124,2,3,0.9700000286102295,2.140000104904175,5.519999980926514,8.850000381469727,1.8491885672079318,3.4621236324310303,0.5184985201658181,0.046934760866572056
91.2359299659729,2,4,0.9700000286102295,1.090000033378601,5.46999979019165,8.270000457763672,0.17636332087404566,4.1820244789123535,-0.006936306874939001,2.3638280767283032e-05
96.32387351989746,3,1,0.9300000071525574,14.0,6.380000114440918,8.520000457763672,2.5800849961892114,3.7929725646972656,0.2007120531878175,-0.4548368301259637
101.38863921165466,3,2,0.9100000262260437,14.729999542236328,7.5,13.359999656677246,0.47853383876020916,3.5327823162078857,0.2887599026111992,-0.15839500202639298
106.45387768745422,3,3,0.9700000286102295,14.630000114440918,5.769999980926514,11.390000343322754,0.09803262643288832,6.704220771789551,-0.0011511244072495222,-0.1601946737261485
111.52752327919006,3,4,0.9700000286102295,14.59000015258789,6.139999866485596,11.850000381469727,0.12751685235530055,3.966089963912964,0.0078007425655010855,-0.0010621384051728332
116.59297561645508,3,5,0.9700000286102295,4.929999828338623,6.110000133514404,9.829999923706055,0.06713232964090153,3.7285096645355225,-0.00013700443591548777,3.81995049590681e-08
