#{"t_start": 1787803651.5117593, "env_id": "None"}
r,l,t,termination_reason,distance_to_goal,min_lidar_episode,contact_count,collision_event_count
1249.945927,35,179.522237,max_steps,9.604137979677343,0.6276091933250427,0,0
1088.455534,35,358.05808,max_steps,1.9058864432838791,0.5833840370178223,0,0
1069.839735,35,537.439039,max_steps,0.2788517307433977,0.40931034088134766,0,0
1187.347459,35,716.236529,max_steps,6.587413718404832,0.5367030501365662,0,0
1391.178178,35,895.334604,max_steps,8.945999502437639,0.2806834280490875,0,0
1132.37714,35,1074.61582,max_steps,9.017397310388947,0.2811606228351593,0,0
1319.394508,35,1253.812819,max_steps,0.6930882198925632,0.6411505937576294,0,0
1294.80436,35,1432.841798,max_steps,0.4375374303916436,0.6382554173469543,0,0
1194.055154,35,1612.186513,max_steps,3.561347068793425,0.5974029898643494,0,0
635.140844,22,1724.949095,collision,0.10123070716634125,0.3580870032310486,2,1
1317.985159,35,1904.47283,max_steps,9.477494724742101,0.597197413444519,0,0
1285.114133,35,2083.937742,max_steps,6.784502508172699,0.5011246204376221,0,0
1356.82883,35,2263.195243,max_steps,8.973706966866379,0.584820032119751,0,0
1218.990145,35,2442.234869,max_steps,4.20149308637034,0.5956240892410278,0,0
631.231104,17,2529.388217,collision,4.350145795220846,0.4410644769668579,4,1
